combo,size,occurrences,window_days,cooldown_days,depression_rate,crash_rate,avg_fwd_90,avg_depression_score,best_individual_depression_rate,improvement_pp,classification
SUGAR_CRASH + BOND_FREEZE + HOUSING_BUST + FLASH_MOVE,4,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + HOUSING_BUST + LABOUR_SHOCK,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + HOUSING_BUST + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + HOUSING_BUST + FLASH_MOVE,4,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + WAR_PROTOCOL + HOUSING_BUST,4,0,30,30,,,,,0.0,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + WAR_PROTOCOL + LABOUR_SHOCK,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + WAR_PROTOCOL + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + HOUSING_BUST + LABOUR_SHOCK,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + HOUSING_BUST + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + HOUSING_BUST + FLASH_MOVE,4,0,30,30,,,,,8.333333333333332,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + HOUSING_BUST + LABOUR_SHOCK,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + HOUSING_BUST + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + HOUSING_BUST + FLASH_MOVE,4,0,30,30,,,,,8.333333333333332,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + HOUSING_BUST + LABOUR_SHOCK,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + HOUSING_BUST + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + HOUSING_BUST + FLASH_MOVE,4,0,30,30,,,,,8.333333333333332,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + HOUSING_BUST + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + HOUSING_BUST + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
BOND_FREEZE + HOUSING_BUST + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
BOND_FREEZE + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
WAR_PROTOCOL + HOUSING_BUST + LABOUR_SHOCK + INTERBANK_STRESS,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
WAR_PROTOCOL + HOUSING_BUST + LABOUR_SHOCK + FLASH_MOVE,4,0,30,30,,,,,14.285714285714285,,TRIVIAL
WAR_PROTOCOL + HOUSING_BUST + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
WAR_PROTOCOL + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
HOUSING_BUST + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,0,30,30,,,,,33.33333333333333,,TRIVIAL
