WindowStart,WindowEnd,Event,Count,DepressionRate,NBERRate,Crash90,Win180
1962-01-01,1966-12-31,FLASH_MOVE,1,0.0,0.0,0.0,100.0
1962-01-01,1966-12-31,BOND_FREEZE,133,0.0,0.0,36.84210526315789,45.86466165413533
1963-01-01,1967-12-31,BOND_FREEZE,145,0.0,0.0,41.37931034482759,50.3448275862069
1964-01-01,1968-12-31,BOND_FREEZE,132,0.0,0.0,56.81818181818182,32.57575757575758
1965-01-01,1969-12-31,BOND_FREEZE,189,0.0,33.86243386243386,71.95767195767195,19.047619047619047
1966-01-01,1970-12-31,BOND_FREEZE,133,0.0,48.87218045112782,85.71428571428571,21.052631578947366
1966-01-01,1970-12-31,LABOUR_SHOCK,37,0.0,100.0,67.56756756756756,45.94594594594595
1966-01-01,1970-12-31,FLASH_MOVE,1,0.0,100.0,0.0,100.0
1967-01-01,1971-12-31,BOND_FREEZE,96,0.0,67.70833333333334,90.625,15.625
1967-01-01,1971-12-31,LABOUR_SHOCK,44,0.0,84.0909090909091,56.81818181818182,54.54545454545454
1967-01-01,1971-12-31,FLASH_MOVE,1,0.0,100.0,0.0,100.0
1967-01-01,1971-12-31,EM_CURRENCY_STRESS,249,0.0,0.0,41.365461847389554,74.69879518072288
1968-01-01,1972-12-31,BOND_FREEZE,105,0.0,61.904761904761905,72.38095238095238,3.8095238095238098
1968-01-01,1972-12-31,LABOUR_SHOCK,52,0.0,71.15384615384616,48.07692307692308,61.53846153846154
1968-01-01,1972-12-31,FLASH_MOVE,1,0.0,100.0,0.0,100.0
1968-01-01,1972-12-31,EM_CURRENCY_STRESS,252,0.0,1.1904761904761905,42.06349206349206,73.80952380952381
1969-01-01,1973-12-31,BOND_FREEZE,139,0.0,84.89208633093526,72.66187050359713,1.4388489208633095
1969-01-01,1973-12-31,LABOUR_SHOCK,56,0.0,73.21428571428571,51.78571428571429,57.14285714285714
1969-01-01,1973-12-31,FLASH_MOVE,1,0.0,100.0,0.0,100.0
1969-01-01,1973-12-31,EM_CURRENCY_STRESS,265,0.0,6.037735849056604,44.905660377358494,70.18867924528301
1970-01-01,1974-12-31,LABOUR_SHOCK,133,0.0,88.7218045112782,39.849624060150376,63.90977443609023
